original_Product,bought_with,times_bought_together
iPhone,Apple Airpods Headphones,373
iPhone,AAA Batteries (4-pack),31
iPhone,Lightning Charging Cable,1015
iPhone,Wired Headphones,462
iPhone,34in Ultrawide Monitor,13
iPhone,AA Batteries (4-pack),32
iPhone,20in Monitor,3
iPhone,LG Washing Machine,2
iPhone,27in 4K Gaming Monitor,9
iPhone,Google Phone,9
iPhone,USB-C Charging Cable,29
LG Dryer,Vareebadd Phone,1
LG Dryer,27in FHD Monitor,3
20in Monitor,USB-C Charging Cable,25
20in Monitor,Lightning Charging Cable,26
20in Monitor,Wired Headphones,19
20in Monitor,AAA Batteries (4-pack),11
20in Monitor,ThinkPad Laptop,2
20in Monitor,27in 4K Gaming Monitor,2
20in Monitor,Bose SoundSport Headphones,15
20in Monitor,iPhone,3
20in Monitor,Apple Airpods Headphones,13
Google Phone,USB-C Charging Cable,999
Google Phone,Bose SoundSport Headphones,228
Google Phone,AAA Batteries (4-pack),22
Google Phone,ThinkPad Laptop,6
Google Phone,Wired Headphones,423
Google Phone,AA Batteries (4-pack),25
Google Phone,Lightning Charging Cable,28
Google Phone,Apple Airpods Headphones,21
Google Phone,iPhone,9
Google Phone,Macbook Pro Laptop,7
Flatscreen TV,Lightning Charging Cable,22
Flatscreen TV,Macbook Pro Laptop,5
Flatscreen TV,Apple Airpods Headphones,13
Flatscreen TV,Wired Headphones,11
Flatscreen TV,AAA Batteries (4-pack),21
Flatscreen TV,AA Batteries (4-pack),21
Flatscreen TV,Bose SoundSport Headphones,13
Flatscreen TV,USB-C Charging Cable,17
ThinkPad Laptop,USB-C Charging Cable,20
ThinkPad Laptop,Google Phone,6
ThinkPad Laptop,Apple Airpods Headphones,16
ThinkPad Laptop,34in Ultrawide Monitor,4
ThinkPad Laptop,Lightning Charging Cable,20
ThinkPad Laptop,20in Monitor,2
ThinkPad Laptop,AAA Batteries (4-pack),27
ThinkPad Laptop,AA Batteries (4-pack),17
ThinkPad Laptop,27in 4K Gaming Monitor,5
ThinkPad Laptop,Bose SoundSport Headphones,13
ThinkPad Laptop,Wired Headphones,14
Vareebadd Phone,USB-C Charging Cable,368
Vareebadd Phone,Wired Headphones,149
Vareebadd Phone,Bose SoundSport Headphones,82
Vareebadd Phone,LG Dryer,1
Vareebadd Phone,Apple Airpods Headphones,12
Vareebadd Phone,AA Batteries (4-pack),12
Vareebadd Phone,Lightning Charging Cable,4
27in FHD Monitor,AAA Batteries (4-pack),43
27in FHD Monitor,Bose SoundSport Headphones,26
27in FHD Monitor,AA Batteries (4-pack),26
27in FHD Monitor,USB-C Charging Cable,43
27in FHD Monitor,Apple Airpods Headphones,24
27in FHD Monitor,Lightning Charging Cable,36
27in FHD Monitor,34in Ultrawide Monitor,10
27in FHD Monitor,Wired Headphones,22
27in FHD Monitor,LG Dryer,3
27in FHD Monitor,Macbook Pro Laptop,9
Wired Headphones,iPhone,462
Wired Headphones,Vareebadd Phone,149
Wired Headphones,20in Monitor,19
Wired Headphones,Macbook Pro Laptop,20
Wired Headphones,Lightning Charging Cable,129
Wired Headphones,Bose SoundSport Headphones,74
Wired Headphones,USB-C Charging Cable,205
Wired Headphones,Apple Airpods Headphones,100
Wired Headphones,Google Phone,423
Wired Headphones,Flatscreen TV,11
Wired Headphones,AAA Batteries (4-pack),86
Wired Headphones,34in Ultrawide Monitor,28
Wired Headphones,AA Batteries (4-pack),83
Wired Headphones,27in FHD Monitor,22
Wired Headphones,27in 4K Gaming Monitor,29
Wired Headphones,ThinkPad Laptop,14
LG Washing Machine,Lightning Charging Cable,6
LG Washing Machine,iPhone,2
LG Washing Machine,AAA Batteries (4-pack),4
LG Washing Machine,AA Batteries (4-pack),1
Macbook Pro Laptop,Wired Headphones,20
Macbook Pro Laptop,USB-C Charging Cable,21
Macbook Pro Laptop,Flatscreen TV,5
Macbook Pro Laptop,Lightning Charging Cable,21
Macbook Pro Laptop,AA Batteries (4-pack),17
Macbook Pro Laptop,AAA Batteries (4-pack),18
Macbook Pro Laptop,27in FHD Monitor,9
Macbook Pro Laptop,Google Phone,7
USB-C Charging Cable,Vareebadd Phone,368
USB-C Charging Cable,Google Phone,999
USB-C Charging Cable,Lightning Charging Cable,100
USB-C Charging Cable,20in Monitor,25
USB-C Charging Cable,ThinkPad Laptop,20
USB-C Charging Cable,AA Batteries (4-pack),75
USB-C Charging Cable,AAA Batteries (4-pack),95
USB-C Charging Cable,27in FHD Monitor,43
USB-C Charging Cable,Wired Headphones,205
USB-C Charging Cable,Macbook Pro Laptop,21
USB-C Charging Cable,Bose SoundSport Headphones,102
USB-C Charging Cable,34in Ultrawide Monitor,26
USB-C Charging Cable,Apple Airpods Headphones,63
USB-C Charging Cable,Flatscreen TV,17
USB-C Charging Cable,iPhone,29
AA Batteries (4-pack),AAA Batteries (4-pack),87
AA Batteries (4-pack),Apple Airpods Headphones,70
AA Batteries (4-pack),USB-C Charging Cable,75
AA Batteries (4-pack),27in FHD Monitor,26
AA Batteries (4-pack),Lightning Charging Cable,106
AA Batteries (4-pack),Google Phone,25
AA Batteries (4-pack),Wired Headphones,83
AA Batteries (4-pack),Macbook Pro Laptop,17
AA Batteries (4-pack),Flatscreen TV,21
AA Batteries (4-pack),iPhone,32
AA Batteries (4-pack),27in 4K Gaming Monitor,26
AA Batteries (4-pack),Bose SoundSport Headphones,55
AA Batteries (4-pack),Vareebadd Phone,12
AA Batteries (4-pack),ThinkPad Laptop,17
AA Batteries (4-pack),34in Ultrawide Monitor,32
27in 4K Gaming Monitor,34in Ultrawide Monitor,6
27in 4K Gaming Monitor,Lightning Charging Cable,34
27in 4K Gaming Monitor,Apple Airpods Headphones,22
27in 4K Gaming Monitor,AAA Batteries (4-pack),30
27in 4K Gaming Monitor,AA Batteries (4-pack),26
27in 4K Gaming Monitor,USB-C Charging Cable,23
27in 4K Gaming Monitor,Wired Headphones,29
27in 4K Gaming Monitor,20in Monitor,2
27in 4K Gaming Monitor,iPhone,9
27in 4K Gaming Monitor,ThinkPad Laptop,5
27in 4K Gaming Monitor,Bose SoundSport Headphones,19
